player_id,source,rank,weight
117,Drafttech,130,1
118,PFF,179,1.2
118,NFL Draft Buzz,119,0.9
118,PFN,70,0.9
118,TANKATHON,120,0.9
118,Drafttech,93,1
118,CBS,81,1
119,PFF,180,1.2
119,NFL Draft Buzz,116,0.9
119,TANKATHON,132,0.9
119,CBS,82,1
119,Charlie Campbell,50,1
120,PFF,120,1.2
120,NFL Draft Buzz,72,0.9
120,PFN,148,0.9
120,TANKATHON,121,0.9
120,Drafttech,95,1
120,CBS,96,1
121,PFF,167,1.2
121,NFL Draft Buzz,137,0.9
121,PFN,36,0.9
121,TANKATHON,111,0.9
121,Drafttech,106,1
121,CBS,110,1
122,PFF,129,1.2
122,NFL Draft Buzz,108,0.9
122,PFN,134,0.9
122,TANKATHON,97,0.9
122,Drafttech,92,1
122,CBS,98,1
123,PFF,126,1.2
123,NFL Draft Buzz,105,0.9
123,PFN,150,0.9
123,TANKATHON,112,0.9
123,Drafttech,108,1
123,CBS,54,1
124,Drafttech,116,1
125,PFF,145,1.2
125,NFL Draft Buzz,121,0.9
125,PFN,67,0.9
125,TANKATHON,115,0.9
125,Drafttech,124,1
126,NFL Draft Buzz,95,0.9
126,PFN,95,0.9
126,TANKATHON,86,0.9
126,Drafttech,159,1
127,PFN,106,0.9
128,PFN,122,0.9
128,Drafttech,100,1
129,PFF,138,1.2
129,NFL Draft Buzz,113,0.9
130,PFF,199,1.2
130,PFN,110,0.9
130,Drafttech,133,1
130,CBS,65,1
131,PFN,141,0.9
131,CBS,87,1
132,PFF,106,1.2
132,NFL Draft Buzz,91,0.9
132,Drafttech,176,1
133,PFF,119,1.2
133,NFL Draft Buzz,124,0.9
133,TANKATHON,125,0.9
133,Drafttech,112,1
134,PFF,109,1.2
134,NFL Draft Buzz,107,0.9
134,PFN,107,0.9
134,TANKATHON,119,0.9
134,Drafttech,150,1
135,PFF,158,1.2
135,NFL Draft Buzz,92,0.9
135,TANKATHON,136,0.9
135,Drafttech,104,1
136,TANKATHON,113,0.9
136,Drafttech,121,1
137,PFF,134,1.2
137,NFL Draft Buzz,98,0.9
137,PFN,85,0.9
137,TANKATHON,123,0.9
137,Drafttech,166,1
138,NFL Draft Buzz,112,0.9
139,TANKATHON,131,0.9
139,Drafttech,105,1
140,PFN,133,0.9
140,Drafttech,165,1
140,CBS,64,1
141,PFF,224,1.2
141,NFL Draft Buzz,136,0.9
141,TANKATHON,91,0.9
141,Drafttech,89,1
141,CBS,101,1
142,NFL Draft Buzz,125,0.9
142,Drafttech,115,1
143,PFF,140,1.2
143,NFL Draft Buzz,118,0.9
143,TANKATHON,134,0.9
143,Drafttech,113,1
144,Drafttech,199,1
144,CBS,56,1
145,PFF,349,1.2
145,NFL Draft Buzz,88,0.9
145,PFN,113,0.9
145,TANKATHON,116,0.9
145,Drafttech,84,1
145,CBS,41,1
146,NFL Draft Buzz,135,0.9
146,PFN,90,0.9
146,Drafttech,162,1
146,CBS,100,1
147,PFF,173,1.2
147,TANKATHON,133,0.9
147,Drafttech,94,1
148,PFF,175,1.2
148,NFL Draft Buzz,128,0.9
148,PFN,93,0.9
148,TANKATHON,110,0.9
148,Drafttech,211,1
148,CBS,49,1
149,PFF,189,1.2
149,Drafttech,101,1
150,PFF,237,1.2
150,PFN,38,0.9
150,TANKATHON,100,0.9
150,Drafttech,188,1
150,CBS,109,1
151,PFF,200,1.2
151,NFL Draft Buzz,131,0.9
151,PFN,111,0.9
151,TANKATHON,128,0.9
151,Drafttech,70,1
152,PFF,156,1.2
152,NFL Draft Buzz,122,0.9
152,Drafttech,125,1
153,PFF,155,1.2
153,PFN,116,0.9
153,TANKATHON,138,0.9
153,Drafttech,110,1
154,PFF,157,1.2
154,TANKATHON,129,0.9
154,Drafttech,122,1
